"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2024","1,038.07","1,034.69","1,039.75","1,033.96","","0.32%"
"03/15/2024","1,034.74","1,046.89","1,046.89","1,031.85","","-1.33%"
"03/14/2024","1,048.68","1,047.37","1,050.04","1,044.53","","0.21%"
"03/13/2024","1,046.51","1,049.15","1,052.30","1,043.58","","-0.24%"
"03/12/2024","1,049.07","1,039.48","1,049.70","1,038.10","","0.96%"
"03/11/2024","1,039.07","1,037.22","1,040.15","1,034.78","","0.19%"
"03/08/2024","1,037.09","1,032.63","1,041.06","1,032.63","","0.66%"
"03/07/2024","1,030.27","1,029.24","1,034.93","1,028.78","","0.23%"
"03/06/2024","1,027.95","1,021.16","1,029.79","1,018.90","","0.61%"
"03/05/2024","1,021.74","1,029.94","1,031.16","1,021.00","","-0.84%"
"03/04/2024","1,030.39","1,025.69","1,032.89","1,025.69","","0.56%"
"03/01/2024","1,024.68","1,020.91","1,025.52","1,017.96","","0.37%"
"02/29/2024","1,020.94","1,017.49","1,021.94","1,015.08","","0.22%"
"02/28/2024","1,018.72","1,028.05","1,029.29","1,017.60","","-0.88%"
"02/27/2024","1,027.75","1,024.39","1,028.04","1,019.19","","0.36%"
"02/26/2024","1,024.11","1,028.01","1,028.01","1,023.53","","-0.41%"
"02/23/2024","1,028.31","1,029.28","1,034.10","1,028.13","","-0.11%"
"02/22/2024","1,029.44","1,022.23","1,030.40","1,020.83","","0.86%"
"02/21/2024","1,020.62","1,020.00","1,026.06","1,014.83","","0.16%"
"02/20/2024","1,018.99","1,016.02","1,020.55","1,013.07","","0.26%"
"02/19/2024","1,016.38","1,016.59","1,018.43","1,014.35","","0.01%"
"02/16/2024","1,016.23","1,009.85","1,017.08","1,007.80","","0.85%"
"02/15/2024","1,007.70","999.69","1,008.87","998.92","","0.89%"
"02/14/2024","998.86","992.95","999.08","989.16","","0.21%"
"02/13/2024","996.78","997.34","999.33","993.47","","0.07%"
"02/12/2024","996.06","995.29","996.49","993.77","","0.05%"
"02/09/2024","995.53","996.59","996.94","992.23","","-0.20%"
"02/08/2024","997.54","1,002.33","1,004.38","996.52","","-0.50%"
"02/07/2024","1,002.55","1,000.63","1,007.01","1,000.14","","0.27%"
"02/06/2024","999.86","983.37","1,000.24","982.22","","1.68%"
"02/05/2024","983.32","985.30","988.85","979.71","","-0.49%"
"02/02/2024","988.21","983.48","993.48","983.48","","0.62%"
"02/01/2024","982.12","975.39","983.03","974.25","","0.65%"
"01/31/2024","975.80","980.52","981.05","973.87","","-0.49%"
"01/30/2024","980.59","991.06","992.31","980.02","","-0.97%"
"01/29/2024","990.18","985.68","992.74","985.66","","0.52%"
"01/26/2024","985.10","987.85","989.77","982.47","","-0.32%"
"01/25/2024","988.30","982.59","989.30","981.39","","0.61%"
"01/24/2024","982.34","969.42","984.98","967.80","","1.28%"
"01/23/2024","969.97","964.15","973.00","963.56","","0.60%"
"01/22/2024","964.15","971.80","974.64","963.23","","-0.70%"
"01/19/2024","970.91","962.38","971.86","962.38","","1.00%"
"01/18/2024","961.34","958.74","964.13","958.48","","0.31%"
"01/17/2024","958.39","978.92","978.96","957.14","","-2.18%"
"01/16/2024","979.72","994.73","994.95","977.95","","-1.55%"
"01/15/2024","995.16","995.58","997.69","992.89","","-0.11%"
"01/12/2024","996.30","995.13","998.89","992.41","","0.16%"
"01/11/2024","994.75","989.08","997.66","988.89","","0.58%"
"01/10/2024","988.97","992.29","992.75","986.71","","-0.41%"
"01/09/2024","993.00","998.07","1,000.97","991.95","","-0.38%"
"01/08/2024","996.76","1,002.80","1,005.86","994.72","","-0.53%"
"01/05/2024","1,002.08","1,003.55","1,004.56","998.31","","-0.22%"
"01/04/2024","1,004.26","1,002.51","1,006.11","999.41","","0.11%"
"01/03/2024","1,003.13","1,013.77","1,013.77","1,001.85","","-1.30%"
"01/02/2024","1,016.38","1,023.47","1,025.44","1,013.94","","-0.81%"
"01/01/2024","1,024.67","1,023.51","1,024.67","1,023.20","","0.09%"
